source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Pind Aala School 2024 1080p AMZN WEB-DL H264-DTR,Plot: The story of a master who has just taken charge of the school in Pind who tries different things to ensure that the children belonging to this school have a bright future.Genre: DramaIMDB Rating Live: IMDB Rating: N/ARotten Rating: N/AMetacritic Rating:…,https://rlsbb.cc/pind-aala-school-2024-1080p-amzn-web-dl-h264-dtr/,,2024-07-04T22:41:08Z,"Plot: The story of a master who has just taken charge of the school in Pind who tries different things to ensure that the children belonging to this school have a bright future.
Genre: DramaIMDB Rat… [+1103 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}",saamaan1@yahoo.com (Master),Mirzapur S03 1080p AMZN WEB-DL H264-MH,Note: In Hindi With English Selectable Subtitles or (HERE).A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapur.Links: HOMEPAGE – iMDBMirzapur.S03.1080p.AMZN.WEB-DL.DDP5.1.…,https://rlsbb.cc/mirzapur-s03-1080p-amzn-web-dl-h264-mh/,,2024-07-04T22:10:31Z,"Note: In Hindi With English Selectable Subtitles or (HERE).
A shocking incident at a wedding procession ignites a series of events entangling the lives of two families in the lawless city of Mirzapu… [+276 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Max Steiner Maestro Of Movie Music 2019 720p AMZN WEB-DL H264-NTb,"Awards 1 win See more awards »Plot: A look at the life and work of the Austrian composer who pioneered the musical scoring of films – hundreds of them – from King Kong, to Gone with the Wind, to Casablanca and beyond.Genre: Documentary | Biography | MusicIMDB…",https://rlsbb.cc/max-steiner-maestro-of-movie-music-2019-720p-amzn-web-dl-h264-ntb/,,2024-07-04T16:39:37Z,"Awards 1 win See more awards »
Plot: A look at the life and work of the Austrian composer who pioneered the musical scoring of films – hundreds of them – from King Kong, to Gone with the Wind, to Ca… [+1978 chars]"
"{'id': None, 'name': 'Rlsbb.ru'}",ABC,Max Steiner Maestro Of Movie Music 2019 720p AMZN WEB-DL H264-NTb,"Awards 1 win See more awards »Plot: A look at the life and work of the Austrian composer who pioneered the musical scoring of films – hundreds of them – from King Kong, to Gone with the Wind, to Casablanca and beyond.Genre: Documentary | Biography | MusicIMDB…",https://rlsbb.ru/max-steiner-maestro-of-movie-music-2019-720p-amzn-web-dl-h264-ntb/,,2024-07-04T16:11:34Z,"Awards 1 win See more awards »
Plot: A look at the life and work of the Austrian composer who pioneered the musical scoring of films – hundreds of them – from King Kong, to Gone with the Wind, to Ca… [+1978 chars]"
"{'id': None, 'name': 'Rlsbb.cc'}","saamaan1@yahoo.com (Master), Master",Shrooms 2023 720p AMZN WEB-DL H264-MADSKY,"Awards 1 win & 1 nomination See more awards »Plot: A young man searches for magic mushrooms in Lisbon, before distributing them with carrier pigeons to locals afflicted by depression.Genre: Short | Drama | FantasyIMDB Rating Live: IMDB Rating: 6.7/10 From 31 …",https://rlsbb.cc/shrooms-2023-720p-amzn-web-dl-h264-madsky/,,2024-07-04T12:55:18Z,"Awards 1 win &amp; 1 nomination See more awards »
Plot: A young man searches for magic mushrooms in Lisbon, before distributing them with carrier pigeons to locals afflicted by depression.
Genre: S… [+1385 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Amazon.com, Inc. (NASDAQ:AMZN) CEO Douglas J. Herrington Sells 3,500 Shares of Stock","Amazon.com, Inc. (NASDAQ:AMZN) CEO Douglas J. Herrington sold 3,500 shares of the stock in a transaction on Monday, July 1st. The stock was sold at an average price of $195.99, for a total value of $685,965.00. Following the sale, the chief executive officer …",https://www.etfdailynews.com/2024/07/04/amazon-com-inc-nasdaqamzn-ceo-douglas-j-herrington-sells-3500-shares-of-stock/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T12:20:50Z,"Amazon.com, Inc. (NASDAQ:AMZN) CEO Douglas J. Herrington sold 3,500 shares of the stock in a transaction on Monday, July 1st. The stock was sold at an average price of $195.99, for a total value of $… [+4564 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Tevis Investment Management Sells 60 Shares of Amazon.com, Inc. (NASDAQ:AMZN)","Tevis Investment Management reduced its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 1.6% in the 1st quarter, according to its most recent filing with the Securities and Exchange Commission. The firm owned 3,581 shares of the e-commer…",https://www.etfdailynews.com/2024/07/04/tevis-investment-management-sells-60-shares-of-amazon-com-inc-nasdaqamzn/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T10:10:46Z,"Tevis Investment Management reduced its holdings in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 1.6% in the 1st quarter, according to its most recent filing with the Securities and Exch… [+6361 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Amazon.com, Inc. (NASDAQ:AMZN) Position Raised by Atwater Malick LLC","Atwater Malick LLC lifted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 6.1% in the 1st quarter, Holdings Channel reports. The fund owned 6,489 shares of the e-commerce giant’s stock after buying an additional 373 shares during the period. Atwat…",https://www.etfdailynews.com/2024/07/04/amazon-com-inc-nasdaqamzn-position-raised-by-atwater-malick-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T10:10:45Z,"Atwater Malick LLC lifted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 6.1% in the 1st quarter, Holdings Channel reports. The fund owned 6,489 shares of the e-commerce giant’s stock af… [+6137 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Amazon.com, Inc. (NASDAQ:AMZN) Shares Bought by Firethorn Wealth Partners LLC","Firethorn Wealth Partners LLC lifted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 10.5% during the 1st quarter, according to the company in its most recent filing with the Securities and Exchange Commission. The institutional inve…",https://www.etfdailynews.com/2024/07/04/amazon-com-inc-nasdaqamzn-shares-bought-by-firethorn-wealth-partners-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T10:10:45Z,"Firethorn Wealth Partners LLC lifted its position in shares of Amazon.com, Inc. (NASDAQ:AMZN – Free Report) by 10.5% during the 1st quarter, according to the company in its most recent filing with th… [+5935 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Amazon.com, Inc. (NASDAQ:AMZN) Shares Acquired by Capital Asset Advisory Services LLC","Capital Asset Advisory Services LLC grew its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.3% in the 1st quarter, according to the company in its most recent Form 13F filing with the Securities & Exchange Commission. The fund owned 67,645 shares of t…",https://www.etfdailynews.com/2024/07/04/amazon-com-inc-nasdaqamzn-shares-acquired-by-capital-asset-advisory-services-llc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/amazoncom-inc-logo-1200x675.jpg&w=240&h=240&zc=2,2024-07-04T09:38:42Z,"Capital Asset Advisory Services LLC grew its stake in shares of Amazon.com, Inc. (NASDAQ:AMZN) by 5.3% in the 1st quarter, according to the company in its most recent Form 13F filing with the Securit… [+6463 chars]"
