source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Billionaire Bill Gates Has 68% of His Foundation's $46 Billion Portfolio Invested in 3 Phenomenal Stocks,"Bill Gates is one of the best-known billionaires in the world.
The Microsoft (NASDAQ: MSFT) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. He's still worth well over $100 billion today despite givin…",https://biztoc.com/x/60f1a91bed066adc,https://biztoc.com/cdn/60f1a91bed066adc_s.webp,2024-07-06T23:25:06Z,"Bill Gates is one of the best-known billionaires in the world.The Microsoft (NASDAQ: MSFT) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. … [+142 chars]"
"{'id': None, 'name': 'Biztoc.com'}",fool.com,Billionaire Bill Gates Has 68% of His Foundation's $46 Billion Portfolio Invested in 3 Phenomenal Stocks,"Bill Gates is one of the best-known billionaires in the world.
The Microsoft (MSFT 1.47%) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. He's still worth well over $100 billion today despite giving …",https://biztoc.com/x/6038b225f2db8c27,https://biztoc.com/cdn/6038b225f2db8c27_s.webp,2024-07-06T21:04:39Z,"Bill Gates is one of the best-known billionaires in the world.The Microsoft (MSFT 1.47%) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. He… [+131 chars]"
"{'id': None, 'name': 'Observer'}","Shreyas Sinha, Shreyas Sinha",Why Would OpenAI Want to Shift to a True For-Profit Anyway?,OpenAI's capped-profit model is serving it well.,https://observer.com/2024/07/openai-for-profit-model/,https://observer.com/wp-content/uploads/sites/2/2024/03/GettyImages-995712996.jpg?quality=80,2024-07-06T18:40:26Z,"OpenAI CEO Sam Altman. Drew Angerer/Getty Images
OpenAI, the San Francisco-based A.I. powerhouse now valued at $80 billion, operates by a unique structure where it is a nonprofit entity that runs a … [+3695 chars]"
"{'id': None, 'name': 'Forbes'}","Brett Owens, Contributor, 
 Brett Owens, Contributor
 https://www.forbes.com/sites/brettowens/",Another Dividend Hike Season On Tap: 5 Stocks To Watch,Many income investors miss these stocks because their current yields are modest. These armchair analysts are missing a critical point. The prices climb with each hike!,https://www.forbes.com/sites/brettowens/2024/07/06/another-dividend-hike-season-on-tap-5-stocks-to-watch/,https://imageio.forbes.com/specials-images/imageserve/66858e0d47c3928c8863caf9/0x0.jpg?format=jpg&height=900&width=1600&fit=bounds,2024-07-06T14:15:00Z,"George Washington looking throuth a hole
getty
Five growth companies are about to hike their dividends. Lets front run these payout moves.
Many vanilla income investors miss these stocks because t… [+9466 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,"2 ""Magnificent Seven"" Stocks to Buy Right Now","Bank of America analyst Michael Hartnett took a cue from a classic Western film last year when he expanded on the idea of the FAANG stocks, dubbing his new set of the most important companies on Wall Street the ""Magnificent Seven."" These commanding megacaps a…",https://biztoc.com/x/4ebcf8f0d3bbf1a9,https://biztoc.com/cdn/4ebcf8f0d3bbf1a9_s.webp,2024-07-06T12:13:13Z,"Bank of America analyst Michael Hartnett took a cue from a classic Western film last year when he expanded on the idea of the FAANG stocks, dubbing his new set of the most important companies on Wall… [+135 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Sage Rhino Capital LLC Decreases Stake in Microsoft Co. (NASDAQ:MSFT),"Sage Rhino Capital LLC reduced its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.1% in the first quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 15,678 shares of the so…",https://www.etfdailynews.com/2024/07/06/sage-rhino-capital-llc-decreases-stake-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-06T12:10:44Z,"Sage Rhino Capital LLC reduced its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.1% in the first quarter, according to the company in its most recent filing with the Securities and Excha… [+6591 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Horizon Financial Services LLC Invests $80,000 in Microsoft Co. (NASDAQ:MSFT)","Horizon Financial Services LLC purchased a new position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) in the 1st quarter, according to its most recent disclosure with the Securities and Exchange Commission. The firm purchased 190 shares of the softwa…",https://www.etfdailynews.com/2024/07/06/horizon-financial-services-llc-invests-80000-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-06T12:10:43Z,"Horizon Financial Services LLC purchased a new position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) in the 1st quarter, according to its most recent disclosure with the Securities and Exch… [+6286 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Augustine Asset Management Inc. Sells 519 Shares of Microsoft Co. (NASDAQ:MSFT),"Augustine Asset Management Inc. lessened its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.8% during the 1st quarter, HoldingsChannel reports. The firm owned 63,214 shares of the software giant’s stock after selling 519 shares during th…",https://www.etfdailynews.com/2024/07/06/augustine-asset-management-inc-sells-519-shares-of-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-06T12:10:43Z,"Augustine Asset Management Inc. lessened its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.8% during the 1st quarter, HoldingsChannel reports. The firm owned 63,214 shares of t… [+7090 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,"Schmidt P J Investment Management Inc. Sells 1,500 Shares of Microsoft Co. (NASDAQ:MSFT)","Schmidt P J Investment Management Inc. lowered its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.7% during the first quarter, according to the company in its most recent disclosure with the Securities and Exchange Commission. The instituti…",https://www.etfdailynews.com/2024/07/06/schmidt-p-j-investment-management-inc-sells-1500-shares-of-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-06T12:10:42Z,"Schmidt P J Investment Management Inc. lowered its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 1.7% during the first quarter, according to the company in its most recent disclosur… [+7208 chars]"
"{'id': None, 'name': 'Biztoc.com'}",finance.yahoo.com,Billionaire Bill Gates Has 68% of His Foundation's $46 Billion Portfolio Invested in 3 Phenomenal Stocks,"Bill Gates is one of the best-known billionaires in the world.
The Microsoft (NASDAQ: MSFT) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. He's still worth well over $100 billion today despite givin…",https://biztoc.com/x/3726fdc8cf96e682,https://biztoc.com/cdn/3726fdc8cf96e682_s.webp,2024-07-06T11:40:35Z,"Bill Gates is one of the best-known billionaires in the world.The Microsoft (NASDAQ: MSFT) founder became the first centibillionaire in 1999, decades before anyone else reached that level of wealth. … [+142 chars]"
