source,author,title,description,url,urlToImage,publishedAt,content
"{'id': None, 'name': 'Stockcharts.com'}",Julius de Kempenaer,Unmasking Market Moves: Why Focusing on Individual Stocks Beats Indexes in 2024,Many chatter and mentions of weak or narrow breadth are floating around these days. I plead guilty as well.I want to approach this from another angle using some of the major US stock indices for this article.I usually examine the market using sectors or a gro…,https://stockcharts.com/articles/rrg/2024/07/unmasking-market-moves-why-foc-995.html,https://stockcharts.com/img/articles/2024/07/04/dd947f1b-252b-4aa7-ad07-abd363b36df6.jpg,2024-07-04T21:12:15Z,<ul><li>Looking at market breadth from a different perspective</li><li>Plotting major US stockmarket indices on a Relative Rotation Graph</li><li>Even inside the NY FANG index the base is narrow.</li… [+4303 chars]
"{'id': None, 'name': 'Motley Fool Australia'}",Zach Bristow,"ASX NASDAQ (NDQ) ETF: Up 30% in a year, should you buy now or wait?","Tech continues to dominate in 2024. Will this continue?
The post ASX NASDAQ (NDQ) ETF: Up 30% in a year, should you buy now or wait? appeared first on The Motley Fool Australia.",https://www.fool.com.au/2024/07/05/asx-nasdaq-ndq-etf-up-30-in-a-year-should-you-buy-now-or-wait/,https://www.fool.com.au/wp-content/uploads/2023/09/GettyImages-1341398877-1-1200x675.jpg,2024-07-04T20:00:00Z,"The BetaShares NASDAQ 100 ETF (ASX: NDQ) has been a standout on the ASX in 2024, given its direct exposure to markets in the United States.
The exchange-traded fund (ETF) tracks the performance of t… [+3746 chars]"
"{'id': None, 'name': 'Biztoc.com'}",investorplace.com,Microsoft’s AI Gambit: Why MSFT Stock Could Soar Even Higher,"Despite briefly losing its crown as the world’s most valuable technology company to chipmaker Nvidia (NASDAQ:NVDA), software giant Microsoft (NASDAQ:MSFT) has continued to rally to new heights and could very well continue to do so.
The tech company’s direct e…",https://biztoc.com/x/ae7c3c9355ddce4e,https://biztoc.com/cdn/ae7c3c9355ddce4e_s.webp,2024-07-04T11:05:21Z,"Despite briefly losing its crown as the worlds most valuable technology company to chipmaker Nvidia (NASDAQ:NVDA), software giant Microsoft (NASDAQ:MSFT) has continued to rally to new heights and cou… [+138 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,S.A. Mason LLC Acquires 95 Shares of Microsoft Co. (NASDAQ:MSFT),"S.A. Mason LLC increased its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.6% in the 1st quarter, according to its most recent 13F filing with the SEC. The firm owned 16,283 shares of the software giant’s stock after buying an additional 95 share…",https://www.etfdailynews.com/2024/07/04/s-a-mason-llc-acquires-95-shares-of-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:44Z,"S.A. Mason LLC increased its holdings in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.6% in the 1st quarter, according to its most recent 13F filing with the SEC. The firm owned 16,283 shares of th… [+6817 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Revolve Wealth Partners LLC Boosts Stock Position in Microsoft Co. (NASDAQ:MSFT),"Revolve Wealth Partners LLC increased its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.2% during the first quarter, according to its most recent filing with the Securities and Exchange Commission (SEC). The institutional investor owned…",https://www.etfdailynews.com/2024/07/04/revolve-wealth-partners-llc-boosts-stock-position-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:43Z,"Revolve Wealth Partners LLC increased its holdings in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.2% during the first quarter, according to its most recent filing with the Securities and… [+6479 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Microsoft Co. (NASDAQ:MSFT) Shares Sold by Corundum Group Inc.,"Corundum Group Inc. reduced its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.7% during the 1st quarter, HoldingsChannel.com reports. The firm owned 17,645 shares of the software giant’s stock after selling 491 shares during the period. Mi…",https://www.etfdailynews.com/2024/07/04/microsoft-co-nasdaqmsft-shares-sold-by-corundum-group-inc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:43Z,"Corundum Group Inc. reduced its stake in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 2.7% during the 1st quarter, HoldingsChannel.com reports. The firm owned 17,645 shares of the software … [+6901 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Bowman & Co S.C. Lowers Position in Microsoft Co. (NASDAQ:MSFT),"Bowman & Co S.C. reduced its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 3.5% during the first quarter, according to its most recent filing with the SEC. The fund owned 13,412 shares of the software giant’s stock after selling 481 shares during the …",https://www.etfdailynews.com/2024/07/04/bowman-co-s-c-lowers-position-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:43Z,"Bowman &amp; Co S.C. reduced its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 3.5% during the first quarter, according to its most recent filing with the SEC. The fund owned 13,412 shares of… [+6477 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Microsoft Co. (NASDAQ:MSFT) Shares Acquired by Northeast Financial Group Inc.,"Northeast Financial Group Inc. increased its position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 4.0% in the 1st quarter, according to the company in its most recent disclosure with the SEC. The fund owned 3,239 shares of the software giant’s s…",https://www.etfdailynews.com/2024/07/04/microsoft-co-nasdaqmsft-shares-acquired-by-northeast-financial-group-inc/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:43Z,"Northeast Financial Group Inc. increased its position in shares of Microsoft Co. (NASDAQ:MSFT – Free Report) by 4.0% in the 1st quarter, according to the company in its most recent disclosure with th… [+6945 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Visionary Horizons LLC Decreases Holdings in Microsoft Co. (NASDAQ:MSFT),"Visionary Horizons LLC reduced its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 5.5% during the first quarter, according to the company in its most recent filing with the Securities and Exchange Commission (SEC). The fund owned 3,302 shares of the…",https://www.etfdailynews.com/2024/07/04/visionary-horizons-llc-decreases-holdings-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:42Z,"Visionary Horizons LLC reduced its position in Microsoft Co. (NASDAQ:MSFT – Free Report) by 5.5% during the first quarter, according to the company in its most recent filing with the Securities and E… [+6920 chars]"
"{'id': None, 'name': 'ETF Daily News'}",MarketBeat News,Aspiriant LLC Has $20.63 Million Stock Position in Microsoft Co. (NASDAQ:MSFT),"Aspiriant LLC lessened its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.6% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commission. The fund owned 49,043 shares of the software giant’s …",https://www.etfdailynews.com/2024/07/04/aspiriant-llc-has-20-63-million-stock-position-in-microsoft-co-nasdaqmsft/,https://www.americanbankingnews.com/wp-content/timthumb/timthumb.php?src=https://www.marketbeat.com/logos/microsoft-corporation-logo-1200x675.png&w=240&h=240&zc=2,2024-07-04T09:28:42Z,"Aspiriant LLC lessened its stake in Microsoft Co. (NASDAQ:MSFT – Free Report) by 0.6% in the 1st quarter, according to the company in its most recent 13F filing with the Securities and Exchange Commi… [+6580 chars]"
